label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,7]
4032.bm2	[0,0,0,-48,520]	6 2 1
4032.bn1	[0,0,0,-1308,-18160]	6 2 1
4032.bn2	[0,0,0,-48,-520]	6 2 1
4536.a1	[0,0,0,-27,135]	3 4 1
4536.b1	[0,0,0,9,-9]	3 4 1
4536.c1	[0,0,0,-171,-954]	3 4 1
4536.d1	[0,0,0,317277,-15813954]	3 4 1
4536.e1	[0,0,0,-6723,-219186]	3 4 1
4536.f1	[0,0,0,-747,8118]	3 4 1
4536.g1	[0,0,0,35253,585702]	3 4 1
4536.h1	[0,0,0,-1539,25758]	3 4 1
4536.i1	[0,0,0,81,243]	3 4 1
4536.j1	[0,0,0,-3,-5]	3 4 1
4704.a1	[0,-1,0,915,-7419]	5 1 2
4704.b1	[0,-1,0,-72,-216]	5 1 2
4704.c1	[0,-1,0,-16529,823425]	5 1 2
4704.c2	[0,-1,0,-5504,-145452]	5 1 2
4704.c3	[0,-1,0,-1094,11544]	5 1 2
4704.c4	[0,-1,0,2336,66424]	5 1 2
4704.d1	[0,-1,0,-289,-1007]	5 1 2
4704.d2	[0,-1,0,-254,-1476]	5 1 2
4704.e1	[0,-1,0,-1584,-23736]	5 1 2
4704.e2	[0,-1,0,-849,9633]	5 1 2
4704.e3	[0,-1,0,-114,-216]	5 1 2
4704.e4	[0,-1,0,376,-1980]	5 1 2
4704.f1	[0,-1,0,152864,-2188556]	5 1 2
4704.g1	[0,-1,0,-4573,-364139]	5 1 2
4704.h1	[0,-1,0,-653,6693]	5 1 2
4704.i1	[0,-1,0,-32013,2231685]	5 1 2
4704.j1	[0,-1,0,-93,-1035]	5 1 2
4704.k1	[0,-1,0,-1633,24529]	5 1 2
4704.k2	[0,-1,0,82,1548]	5 1 2
4704.l1	[0,-1,0,3120,-7272]	5 1 2
4704.m1	[0,-1,0,-10992,447252]	5 1 2
4704.m2	[0,-1,0,-2417,-37407]	5 1 2
4704.m3	[0,-1,0,-702,6840]	5 1 2
4704.m4	[0,-1,0,768,30360]	5 1 2
4704.n1	[0,-1,0,-14177,-373743]	5 1 2
4704.n2	[0,-1,0,-12462,-531180]	5 1 2
4704.o1	[0,-1,0,-3544,-81164]	5 1 2
4704.p1	[0,-1,0,19,-27]	5 1 2
4704.q1	[0,-1,0,-73761,-6046767]	5 1 2
4704.q2	[0,-1,0,10274,-584492]	5 1 2
4704.r1	[0,1,0,915,7419]	5 1 2
4704.s1	[0,1,0,-72,216]	5 1 2
4704.t1	[0,1,0,-1584,23736]	5 1 2
4704.t2	[0,1,0,-849,-9633]	5 1 2
4704.t3	[0,1,0,-114,216]	5 1 2
4704.t4	[0,1,0,376,1980]	5 1 2
4704.u1	[0,1,0,-289,1007]	5 1 2
4704.u2	[0,1,0,-254,1476]	5 1 2
4704.v1	[0,1,0,-16529,-823425]	5 1 2
4704.v2	[0,1,0,-5504,145452]	5 1 2
4704.v3	[0,1,0,-1094,-11544]	5 1 2
4704.v4	[0,1,0,2336,-66424]	5 1 2
4704.w1	[0,1,0,152864,2188556]	5 1 2
4704.x1	[0,1,0,-32013,-2231685]	5 1 2
4704.y1	[0,1,0,-93,1035]	5 1 2
4704.z1	[0,1,0,-1633,-24529]	5 1 2
4704.z2	[0,1,0,82,-1548]	5 1 2
4704.ba1	[0,1,0,-4573,364139]	5 1 2
4704.bb1	[0,1,0,-653,-6693]	5 1 2
4704.bc1	[0,1,0,3120,7272]	5 1 2
4704.bd1	[0,1,0,-14177,373743]	5 1 2
4704.bd2	[0,1,0,-12462,531180]	5 1 2
4704.be1	[0,1,0,-10992,-447252]	5 1 2
4704.be2	[0,1,0,-2417,37407]	5 1 2
4704.be3	[0,1,0,-702,-6840]	5 1 2
4704.be4	[0,1,0,768,-30360]	5 1 2
4704.bf1	[0,1,0,-3544,81164]	5 1 2
4704.bg1	[0,1,0,-73761,6046767]	5 1 2
4704.bg2	[0,1,0,10274,584492]	5 1 2
4704.bh1	[0,1,0,19,27]	5 1 2
5184.a1	[0,0,0,-12,-80]	6 4 0
5184.b1	[0,0,0,-12,80]	6 4 0
5184.c1	[0,0,0,-3564,-89424]	6 4 0
5184.c2	[0,0,0,276,176]	6 4 0
5184.d1	[0,0,0,-1404,20304]	6 4 0
5184.d2	[0,0,0,36,144]	6 4 0
5184.e1	[0,0,0,-324,-1944]	6 4 0
5184.e2	[0,0,0,-84,296]	6 4 0
5184.f1	[0,0,0,-324,1944]	6 4 0
5184.f2	[0,0,0,-84,-296]	6 4 0
5184.g1	[0,0,0,-1404,-20304]	6 4 0
5184.g2	[0,0,0,36,-144]	6 4 0
5184.h1	[0,0,0,-3564,89424]	6 4 0
5184.h2	[0,0,0,276,-176]	6 4 0
5184.i1	[0,0,0,-108,216]	6 4 0
5184.j1	[0,0,0,-3,4]	6 4 0
5184.k1	[0,0,0,-108,-3024]	6 4 0
5184.l1	[0,0,0,-108,3024]	6 4 0
5184.m1	[0,0,0,-3,-4]	6 4 0
5184.n1	[0,0,0,-108,-216]	6 4 0
5184.o1	[0,0,0,-620460,188113104]	6 4 0
5184.o2	[0,0,0,-6060,368848]	6 4 0
5184.o3	[0,0,0,-300,-2096]	6 4 0
5184.o4	[0,0,0,1620,-3888]	6 4 0
5184.p1	[0,0,0,-68940,-6967152]	6 4 0
5184.p2	[0,0,0,-54540,-9958896]	6 4 0
5184.p3	[0,0,0,-2700,56592]	6 4 0
5184.p4	[0,0,0,180,144]	6 4 0
5184.q1	[0,0,0,-68940,6967152]	6 4 0
5184.q2	[0,0,0,-54540,9958896]	6 4 0
5184.q3	[0,0,0,-2700,-56592]	6 4 0
5184.q4	[0,0,0,180,-144]	6 4 0
5184.r1	[0,0,0,-620460,-188113104]	6 4 0
5184.r2	[0,0,0,-6060,-368848]	6 4 0
5184.r3	[0,0,0,-300,2096]	6 4 0
5184.r4	[0,0,0,1620,3888]	6 4 0
5184.s1	[0,0,0,-12,-8]	6 4 0
5184.t1	[0,0,0,-27,-108]	6 4 0
5184.u1	[0,0,0,-12,-112]	6 4 0
5184.v1	[0,0,0,-12,112]	6 4 0
5184.w1	[0,0,0,-27,108]	6 4 0
5184.x1	[0,0,0,-12,8]	6 4 0
5184.y1	[0,0,0,-396,3312]	6 4 0
5184.y2	[0,0,0,2484,-4752]	6 4 0
5184.z1	[0,0,0,-156,-752]	6 4 0
5184.z2	[0,0,0,324,-3888]	6 4 0
5184.ba1	[0,0,0,-756,-7992]	6 4 0
5184.ba2	[0,0,0,-36,72]	6 4 0
5184.bb1	[0,0,0,-756,7992]	6 4 0
5184.bb2	[0,0,0,-36,-72]	6 4 0
5184.bc1	[0,0,0,-156,752]	6 4 0
5184.bc2	[0,0,0,324,3888]	6 4 0
5184.bd1	[0,0,0,-396,-3312]	6 4 0
5184.bd2	[0,0,0,2484,4752]	6 4 0
5184.be1	[0,0,0,-108,2160]	6 4 0
5184.bf1	[0,0,0,-108,-2160]	6 4 0
5292.a1	[0,0,0,-116424,15150996]	2 3 2
5292.a2	[0,0,0,-10584,-407484]	2 3 2
5292.b1	[0,0,0,-5439,-172186]	2 3 2
5292.b2	[0,0,0,441,686]	2 3 2
5292.c1	[0,0,0,-21168,-1148364]	2 3 2
5292.d1	[0,0,0,0,-64827]	2 3 2
5292.d2	[0,0,0,0,2401]	2 3 2
5292.e1	[0,0,0,0,-16807]	2 3 2
5292.e2	[0,0,0,0,453789]	2 3 2
5292.f1	[0,0,0,0,-67228]	2 3 2
5292.f2	[0,0,0,0,1815156]	2 3 2
5292.g1	[0,0,0,0,-5292]	2 3 2
5292.g2	[0,0,0,0,196]	2 3 2
5292.h1	[0,0,0,0,-1323]	2 3 2
5292.h2	[0,0,0,0,49]	2 3 2
5292.i1	[0,0,0,0,-7]	2 3 2
5292.i2	[0,0,0,0,189]	2 3 2
5292.j1	[0,0,0,0,-1372]	2 3 2
5292.j2	[0,0,0,0,37044]	2 3 2
5292.k1	[0,0,0,-2352,42532]	2 3 2
5292.l1	[0,0,0,-48951,4649022]	2 3 2
5292.l2	[0,0,0,3969,-18522]	2 3 2
5292.m1	[0,0,0,-12936,-561148]	2 3 2
5292.m2	[0,0,0,-1176,15092]	2 3 2
5376.a1	[0,-1,0,-19,-17]	8 1 1
5376.a2	[0,-1,0,51,-171]	8 1 1
5376.b1	[0,-1,0,-1939,-32225]	8 1 1
5376.b2	[0,-1,0,-1869,-34731]	8 1 1
5376.c1	[0,-1,0,-183,-765]	8 1 1
5376.c2	[0,-1,0,307,-4587]	8 1 1
5376.d1	[0,-1,0,-733,6853]	8 1 1
5376.d2	[0,-1,0,77,535]	8 1 1
5376.e1	[0,-1,0,-7757,265557]	8 1 1
5376.e2	[0,-1,0,-467,4575]	8 1 1
5376.f1	[0,-1,0,-77,213]	8 1 1
5376.f2	[0,-1,0,13,15]	8 1 1
5376.g1	[0,1,0,-1939,32225]	8 1 1
5376.g2	[0,1,0,-1869,34731]	8 1 1
5376.h1	[0,1,0,-19,17]	8 1 1
5376.h2	[0,1,0,51,171]	8 1 1
5376.i1	[0,1,0,-733,-6853]	8 1 1
5376.i2	[0,1,0,77,-535]	8 1 1
5376.j1	[0,1,0,-183,765]	8 1 1
5376.j2	[0,1,0,307,4587]	8 1 1
5376.k1	[0,1,0,-77,-213]	8 1 1
5376.k2	[0,1,0,13,-15]	8 1 1
5376.l1	[0,1,0,-7757,-265557]	8 1 1
5376.l2	[0,1,0,-467,-4575]	8 1 1
6048.a1	[0,0,0,-24,16]	5 3 1
6048.b1	[0,0,0,-42444,-3366144]	5 3 1
6048.c1	[0,0,0,-42444,3366144]	5 3 1
6048.d1	[0,0,0,-24,-16]	5 3 1
6048.e1	[0,0,0,-108,-3456]	5 3 1
6048.f1	[0,0,0,-4728,-124976]	5 3 1
6048.g1	[0,0,0,-4968,132624]	5 3 1
6048.h1	[0,0,0,-4968,-132624]	5 3 1
6048.i1	[0,0,0,-4728,124976]	5 3 1
6048.j1	[0,0,0,-108,3456]	5 3 1
6048.k1	[0,0,0,-75,254]	5 3 1
6048.l1	[0,0,0,-675,-6858]	5 3 1
6048.m1	[0,0,0,-675,6858]	5 3 1
6048.n1	[0,0,0,-75,-254]	5 3 1
6048.o1	[0,0,0,-552,-4912]	5 3 1
6048.p1	[0,0,0,-42552,3374352]	5 3 1
6048.q1	[0,0,0,-12,128]	5 3 1
6048.r1	[0,0,0,-12,-128]	5 3 1
6048.s1	[0,0,0,-42552,-3374352]	5 3 1
6048.t1	[0,0,0,-552,4912]	5 3 1
6048.u1	[0,0,0,-4716,124672]	5 3 1
6048.v1	[0,0,0,-216,-432]	5 3 1
6048.w1	[0,0,0,-216,432]	5 3 1
6048.x1	[0,0,0,-4716,-124672]	5 3 1
6272.a1	[0,1,0,-114,-470]	7 0 2
6272.a2	[0,1,0,131,-1989]	7 0 2
6272.b1	[0,1,0,-457,3303]	7 0 2
6272.b2	[0,1,0,33,265]	7 0 2
6272.c1	[0,0,0,-1960,32928]	7 0 2
6272.c2	[0,0,0,-245,-686]	7 0 2
6272.d1	[0,0,0,-980,5488]	7 0 2
6272.d2	[0,0,0,-490,-4116]	7 0 2
6272.e1	[0,0,0,-1960,-32928]	7 0 2
6272.e2	[0,0,0,-245,686]	7 0 2
6272.f1	[0,0,0,-980,-5488]	7 0 2
6272.f2	[0,0,0,-490,4116]	7 0 2
6272.g1	[0,-1,0,-114,470]	7 0 2
6272.g2	[0,-1,0,131,1989]	7 0 2
6272.h1	[0,-1,0,-457,-3303]	7 0 2
6272.h2	[0,-1,0,33,-265]	7 0 2
6804.a1	[0,0,0,-279,-1794]	2 5 1
6804.a2	[0,0,0,81,-5994]	2 5 1
6804.b1	[0,0,0,9,30]	2 5 1
6804.c1	[0,0,0,-216,-1356]	2 5 1
6804.d1	[0,0,0,-3960,-95916]	2 5 1
6804.d2	[0,0,0,-3240,-131868]	2 5 1
6804.e1	[0,0,0,-35640,2589732]	2 5 1
6804.e2	[0,0,0,-360,4884]	2 5 1
6804.f1	[0,0,0,-1944,36612]	2 5 1
6804.g1	[0,0,0,81,-810]	2 5 1
6804.h1	[0,0,0,-2511,48438]	2 5 1
6804.h2	[0,0,0,9,222]	2 5 1
6912.a1	[0,0,0,-54,216]	8 3 0
6912.b1	[0,0,0,-24,-64]	8 3 0
6912.c1	[0,0,0,6,16]	8 3 0
6912.d1	[0,0,0,216,-3456]	8 3 0
6912.e1	[0,0,0,6,-16]	8 3 0
6912.f1	[0,0,0,216,3456]	8 3 0
6912.g1	[0,0,0,-54,-216]	8 3 0
6912.h1	[0,0,0,-24,64]	8 3 0
6912.i1	[0,0,0,-4968,134784]	8 3 0
6912.j1	[0,0,0,-138,-624]	8 3 0
6912.k1	[0,0,0,-4968,-134784]	8 3 0
6912.l1	[0,0,0,-138,624]	8 3 0
6912.m1	[0,0,0,-552,-4992]	8 3 0
6912.n1	[0,0,0,-1242,16848]	8 3 0
6912.o1	[0,0,0,-552,4992]	8 3 0
6912.p1	[0,0,0,-1242,-16848]	8 3 0
6912.q1	[0,0,0,-6,-8]	8 3 0
6912.r1	[0,0,0,-216,1728]	8 3 0
6912.s1	[0,0,0,54,-432]	8 3 0
6912.t1	[0,0,0,24,128]	8 3 0
6912.u1	[0,0,0,54,432]	8 3 0
6912.v1	[0,0,0,24,-128]	8 3 0
6912.w1	[0,0,0,-6,8]	8 3 0
6912.x1	[0,0,0,-216,-1728]	8 3 0
7056.a1	[0,0,0,-970347,-357821030]	4 2 2
7056.a2	[0,0,0,17493,-18991910]	4 2 2
7056.b1	[0,0,0,-111132,-14261940]	4 2 2
7056.c1	[0,0,0,-17787,902090]	4 2 2
7056.c2	[0,0,0,-147,37730]	4 2 2
7056.d1	[0,0,0,-252,-1540]	4 2 2
7056.e1	[0,0,0,-73059,-7601566]	4 2 2
7056.e2	[0,0,0,9261,-23467374]	4 2 2
7056.f1	[0,0,0,-62769,-6052921]	4 2 2
7056.f2	[0,0,0,-1029,-2401]	4 2 2
7056.g1	[0,0,0,-102459,-12687766]	4 2 2
7056.g2	[0,0,0,3381,-92806]	4 2 2
7056.h1	[0,0,0,-13419,-598374]	4 2 2
7056.h2	[0,0,0,21,-2534]	4 2 2
7056.i1	[0,0,0,-4116,-278516]	4 2 2
7056.j1	[0,0,0,-2646,-46305]	4 2 2
7056.j2	[0,0,0,3969,-240786]	4 2 2
7056.k1	[0,0,0,-9483411,-11240741806]	4 2 2
7056.k2	[0,0,0,-6449331,6243532274]	4 2 2
7056.k3	[0,0,0,-733971,-85657390]	4 2 2
7056.k4	[0,0,0,-592851,-175550830]	4 2 2
7056.k5	[0,0,0,-28371,-4061806]	4 2 2
7056.k6	[0,0,0,2723469,-661666894]	4 2 2
7056.l1	[0,0,0,-48951,-4167450]	4 2 2
7056.l2	[0,0,0,-2646,-83349]	4 2 2
7056.m1	[0,0,0,-131376,18343024]	4 2 2
7056.m2	[0,0,0,-336,-2576]	4 2 2
7056.n1	[0,0,0,-19551,-974806]	4 2 2
7056.n2	[0,0,0,-4116,84035]	4 2 2
7056.o1	[0,0,0,57624,1142876]	4 2 2
7056.p1	[0,0,0,-5532051,5008150546]	4 2 2
7056.p2	[0,0,0,-345891,78186850]	4 2 2
7056.p3	[0,0,0,-275331,-55270334]	4 2 2
7056.p4	[0,0,0,-240051,126936754]	4 2 2
7056.p5	[0,0,0,-28371,394450]	4 2 2
7056.p6	[0,0,0,6909,48706]	4 2 2
7056.q1	[0,0,0,-169491,26857586]	4 2 2
7056.q2	[0,0,0,-28371,-1839166]	4 2 2
7056.q3	[0,0,0,-10731,408170]	4 2 2
7056.q4	[0,0,0,-1911,-24010]	4 2 2
7056.q5	[0,0,0,294,-2401]	4 2 2
7056.q6	[0,0,0,6909,1618274]	4 2 2
7056.r1	[0,0,0,-1323,-23814]	4 2 2
7056.s1	[0,0,0,-63,189]	4 2 2
7056.t1	[0,0,0,357,5866]	4 2 2
7056.u1	[0,0,0,-7203,-218491]	4 2 2
7056.v1	[0,0,0,-7203,-302526]	4 2 2
7056.w1	[0,0,0,-995043,-396371486]	4 2 2
7056.w2	[0,0,0,-7203,542626]	4 2 2
7056.x1	[0,0,0,-806295,278668978]	4 2 2
7056.x2	[0,0,0,-49980,4429159]	4 2 2
7056.x3	[0,0,0,-12495,172186]	4 2 2
7056.x4	[0,0,0,2940,20923]	4 2 2
7056.y1	[0,0,0,0,-784]	4 2 2
7056.y2	[0,0,0,0,21168]	4 2 2
7056.z1	[0,0,0,0,-756]	4 2 2
7056.z2	[0,0,0,0,28]	4 2 2
7056.ba1	[0,0,0,-1155,13426]	4 2 2
7056.ba2	[0,0,0,105,1078]	4 2 2
7056.bb1	[0,0,0,-6615,-203742]	4 2 2
7056.bb2	[0,0,0,-735,7546]	4 2 2
7056.bb3	[0,0,0,0,-9261]	4 2 2
7056.bb4	[0,0,0,0,343]	4 2 2
7056.bc1	[0,0,0,-56595,-4605118]	4 2 2
7056.bc2	[0,0,0,5145,-369754]	4 2 2
7056.bd1	[0,0,0,-19266555,32550241066]	4 2 2
7056.bd2	[0,0,0,-1203195,509453098]	4 2 2
7056.bd3	[0,0,0,-250635,39587002]	4 2 2
7056.bd4	[0,0,0,-74235,-7779926]	4 2 2
7056.bd5	[0,0,0,-3675,-173558]	4 2 2
7056.bd6	[0,0,0,31605,3629626]	4 2 2
7056.be1	[0,0,0,0,-9604]	4 2 2
7056.be2	[0,0,0,0,259308]	4 2 2
7056.bf1	[0,0,0,0,-7260624]	4 2 2
7056.bf2	[0,0,0,0,268912]	4 2 2
7056.bg1	[0,0,0,-262395,51731946]	4 2 2
7056.bg2	[0,0,0,-15435,907578]	4 2 2
7056.bg3	[0,0,0,-5355,-150822]	4 2 2
7056.bg4	[0,0,0,-315,-2646]	4 2 2
7056.bh1	[0,0,0,-64827,8168202]	4 2 2
7056.bi1	[0,0,0,-3087,-64827]	4 2 2
7056.bj1	[0,0,0,-147,637]	4 2 2
7056.bk1	[0,0,0,17493,-2012038]	4 2 2
7056.bl1	[0,0,0,-20307,1155602]	4 2 2
7056.bl2	[0,0,0,-147,-1582]	4 2 2
7056.bm1	[0,0,0,-147,882]	4 2 2
7056.bn1	[0,0,0,-84,812]	4 2 2
7056.bo1	[0,0,0,-131859,-18429390]	4 2 2
7056.bo2	[0,0,0,-26019,1278018]	4 2 2
7056.bo3	[0,0,0,-8379,-277830]	4 2 2
7056.bo4	[0,0,0,441,-18522]	4 2 2
7056.bp1	[0,0,0,-6437424,-6291657232]	4 2 2
7056.bp2	[0,0,0,-16464,883568]	4 2 2
7056.bq1	[0,0,0,-1778259,-912726430]	4 2 2
7056.bq2	[0,0,0,-173019,3322298]	4 2 2
7056.bq3	[0,0,0,-111279,-14224210]	4 2 2
7056.bq4	[0,0,0,-3234,-459277]	4 2 2
7056.br1	[0,0,0,-67179,-6693302]	4 2 2
7056.br2	[0,0,0,-5439,-37730]	4 2 2
7056.br3	[0,0,0,-3234,70315]	4 2 2
7056.br4	[0,0,0,21021,-297038]	4 2 2
7056.bs1	[0,0,0,1176,-3332]	4 2 2
7056.bt1	[0,0,0,-5439,154350]	4 2 2
7056.bt2	[0,0,0,-294,3087]	4 2 2
7056.bu1	[0,0,0,-399,2842]	4 2 2
7056.bu2	[0,0,0,-84,-245]	4 2 2
7056.bv1	[0,0,0,-294,1715]	4 2 2
7056.bv2	[0,0,0,441,8918]	4 2 2
7056.bw1	[0,0,0,-1281,17647]	4 2 2
7056.bw2	[0,0,0,-21,7]	4 2 2
7056.bx1	[0,0,0,-1491,22162]	4 2 2
7056.bx2	[0,0,0,189,68418]	4 2 2
7056.by1	[0,0,0,-657531,205242282]	4 2 2
7056.by2	[0,0,0,1029,869162]	4 2 2
7056.bz1	[0,0,0,-5020491,4351903738]	4 2 2
7056.bz2	[0,0,0,165669,31832458]	4 2 2
7056.ca1	[0,0,0,-19803,1043210]	4 2 2
7056.ca2	[0,0,0,357,55370]	4 2 2
7056.cb1	[0,0,0,-12348,528220]	4 2 2
7056.cc1	[0,0,0,-2268,41580]	4 2 2
7056.cd1	[0,0,0,-16023,778610]	4 2 2
7056.cd2	[0,0,0,-588,22295]	4 2 2
7776.a1	[0,0,0,-72,240]	5 5 0
7776.b1	[0,0,0,-72,-240]	5 5 0
7776.c1	[0,0,0,-81,324]	5 5 0
7776.d1	[0,0,0,-81,-324]	5 5 0
7776.e1	[0,0,0,-48843,-4154814]	5 5 0
7776.f1	[0,0,0,-243,-486]	5 5 0
7776.g1	[0,0,0,-243,486]	5 5 0
7776.h1	[0,0,0,-48843,4154814]	5 5 0
7776.i1	[0,0,0,-5427,153882]	5 5 0
7776.j1	[0,0,0,-27,18]	5 5 0
7776.k1	[0,0,0,-27,-18]	5 5 0
7776.l1	[0,0,0,-5427,-153882]	5 5 0
7776.m1	[0,0,0,-9,-12]	5 5 0
7776.n1	[0,0,0,-9,12]	5 5 0
7776.o1	[0,0,0,-648,-6480]	5 5 0
7776.p1	[0,0,0,-648,6480]	5 5 0
7938.a1	[1,-1,0,-6624,-183296]	1 4 2
7938.b1	[1,-1,0,-230946,-19979884]	1 4 2
7938.b2	[1,-1,0,-194931,-33077339]	1 4 2
7938.c1	[1,-1,0,-366,2708]	1 4 2
7938.c2	[1,-1,0,-51,-127]	1 4 2
7938.d1	[1,-1,0,-32496,5850368]	1 4 2
7938.d2	[1,-1,0,3519,-188147]	1 4 2
7938.e1	[1,-1,0,432,11136]	1 4 2
7938.f1	[1,-1,0,-1500,22742]	1 4 2
7938.f2	[1,-1,0,9840,-754048]	1 4 2
7938.g1	[1,-1,0,-8682,-198388]	1 4 2
7938.g2	[1,-1,0,-3537,81843]	1 4 2
7938.h1	[1,-1,0,-177,629]	1 4 2
7938.h2	[1,-1,0,-72,-218]	1 4 2
7938.i1	[1,-1,0,-52782,-4654252]	1 4 2
7938.i2	[1,-1,0,-41757,-6661243]	1 4 2
7938.i3	[1,-1,0,-2067,38429]	1 4 2
7938.i4	[1,-1,0,138,62]	1 4 2
7938.j1	[1,-1,0,-11034,-443388]	1 4 2
7938.k1	[1,-1,0,-73509,-7653493]	1 4 2
7938.k2	[1,-1,0,201,2141]	1 4 2
7938.l1	[1,-1,0,-4713,154853]	1 4 2
7938.l2	[1,-1,0,432,-1898]	1 4 2
7938.m1	[1,-1,0,-4713,59597]	1 4 2
7938.m2	[1,-1,0,-3978,97572]	1 4 2
7938.n1	[1,-1,0,-303,-2143]	1 4 2
7938.n2	[1,-1,0,1902,2708]	1 4 2
7938.o1	[1,-1,0,-17943,-892963]	1 4 2
7938.o2	[1,-1,0,-2508,48572]	1 4 2
7938.p1	[1,-1,0,-135,573]	1 4 2
7938.q1	[1,-1,1,-1217,-14255]	1 4 2
7938.r1	[1,-1,1,-22574,-1288871]	1 4 2
7938.r2	[1,-1,1,-1994,33737]	1 4 2
7938.s1	[1,-1,1,-2729,60589]	1 4 2
7938.s2	[1,-1,1,211,-171]	1 4 2
7938.t1	[1,-1,1,-35804,-2598641]	1 4 2
7938.t2	[1,-1,1,-524,-2033]	1 4 2
7938.u1	[1,-1,1,-524,-5561]	1 4 2
7938.u2	[1,-1,1,3886,47359]	1 4 2
7938.v1	[1,-1,1,-8168,286185]	1 4 2
7938.v2	[1,-1,1,22,-87]	1 4 2
7938.w1	[1,-1,1,-99308,12070783]	1 4 2
7938.x1	[1,-1,1,-475040,126139843]	1 4 2
7938.x2	[1,-1,1,-4640,248259]	1 4 2
7938.x3	[1,-1,1,-230,-1347]	1 4 2
7938.x4	[1,-1,1,1240,-2915]	1 4 2
7938.y1	[1,-1,1,-31835,-2177927]	1 4 2
7938.y2	[1,-1,1,-965,7669]	1 4 2
7938.z1	[1,-1,1,-650,6535]	1 4 2
7938.z2	[1,-1,1,-20,-17]	1 4 2
7938.ba1	[1,-1,1,-167,-787]	1 4 2
7938.ba2	[1,-1,1,1093,27563]	1 4 2
7938.bb1	[1,-1,1,3886,-304559]	1 4 2
7938.bc1	[1,-1,1,-3611,-215477]	1 4 2
7938.bc2	[1,-1,1,31669,5048299]	1 4 2
7938.bd1	[1,-1,1,-461,3889]	1 4 2
7938.bd2	[1,-1,1,-41,-87]	1 4 2
7938.be1	[1,-1,1,-1754381,894842533]	1 4 2
7938.be2	[1,-1,1,-25661,748549]	1 4 2
7938.bf1	[1,-1,1,-59618,5008609]	1 4 2
8064.a1	[0,0,0,-552,3040]	7 2 1
8064.a2	[0,0,0,-237,-1370]	7 2 1
8064.b1	[0,0,0,-552,-3040]	7 2 1
8064.b2	[0,0,0,-237,1370]	7 2 1
8064.c1	[0,0,0,-66,-124]	7 2 1
8064.c2	[0,0,0,204,-880]	7 2 1
8064.d1	[0,0,0,-15816,761056]	7 2 1
8064.d2	[0,0,0,-381,26350]	7 2 1
8064.e1	[0,0,0,-15816,-761056]	7 2 1
8064.e2	[0,0,0,-381,-26350]	7 2 1
8064.f1	[0,0,0,-66,124]	7 2 1
8064.f2	[0,0,0,204,880]	7 2 1
8064.g1	[0,0,0,-831540,-244051792]	7 2 1
8064.g2	[0,0,0,-241050,41981564]	7 2 1
8064.h1	[0,0,0,-180,-432]	7 2 1
8064.h2	[0,0,0,-90,324]	7 2 1
8064.i1	[0,0,0,-2280,-22048]	7 2 1
8064.i2	[0,0,0,-1965,-33514]	7 2 1
8064.j1	[0,0,0,-16680,828704]	7 2 1
8064.j2	[0,0,0,-1245,7562]	7 2 1
8064.k1	[0,0,0,-4980,60496]	7 2 1
8064.k2	[0,0,0,-4170,103588]	7 2 1
8064.l1	[0,0,0,-7860,-268112]	7 2 1
8064.l2	[0,0,0,-570,-2756]	7 2 1
8064.m1	[0,0,0,-360,2592]	7 2 1
8064.m2	[0,0,0,-45,-54]	7 2 1
8064.n1	[0,0,0,-964200,335852512]	7 2 1
8064.n2	[0,0,0,-207885,-30506474]	7 2 1
8064.o1	[0,0,0,-964200,-335852512]	7 2 1
8064.o2	[0,0,0,-207885,30506474]	7 2 1
8064.p1	[0,0,0,-4980,-60496]	7 2 1
8064.p2	[0,0,0,-4170,-103588]	7 2 1
8064.q1	[0,0,0,-360,-2592]	7 2 1
8064.q2	[0,0,0,-45,54]	7 2 1
8064.r1	[0,0,0,-7860,268112]	7 2 1
8064.r2	[0,0,0,-570,2756]	7 2 1
8064.s1	[0,0,0,-2280,22048]	7 2 1
8064.s2	[0,0,0,-1965,33514]	7 2 1
8064.t1	[0,0,0,-180,432]	7 2 1
8064.t2	[0,0,0,-90,-324]	7 2 1
8064.u1	[0,0,0,-16680,-828704]	7 2 1
8064.u2	[0,0,0,-1245,-7562]	7 2 1
8064.v1	[0,0,0,-831540,244051792]	7 2 1
8064.v2	[0,0,0,-241050,-41981564]	7 2 1
8064.w1	[0,0,0,-3954,95132]	7 2 1
8064.w2	[0,0,0,-1524,210800]	7 2 1
8064.x1	[0,0,0,-264,-992]	7 2 1
8064.x2	[0,0,0,51,-110]	7 2 1
8064.y1	[0,0,0,-264,992]	7 2 1
8064.y2	[0,0,0,51,110]	7 2 1
8064.z1	[0,0,0,-3954,-95132]	7 2 1
8064.z2	[0,0,0,-1524,-210800]	7 2 1
8064.ba1	[0,0,0,-948,-10960]	7 2 1
8064.ba2	[0,0,0,-138,380]	7 2 1
8064.bb1	[0,0,0,-948,10960]	7 2 1
8064.bb2	[0,0,0,-138,-380]	7 2 1
9072.a1	[0,0,0,-27,-135]	4 4 1
9072.b1	[0,0,0,-1179,-40374]	4 4 1
9072.b2	[0,0,0,10341,943434]	4 4 1
9072.c1	[0,0,0,-1539,28674]	4 4 1
9072.c2	[0,0,0,141,-334]	4 4 1
9072.d1	[0,0,0,-171,954]	4 4 1
9072.e1	[0,0,0,9,9]	4 4 1
9072.f1	[0,0,0,1269,-56646]	4 4 1
