label	[a1,a2,a3,a4,a6]	ord_p(N) for p in [2,3,11]
12672.b2	[0,0,0,-102,20]	7 2 1
12672.c1	[0,0,0,-126,540]	7 2 1
12672.c2	[0,0,0,-36,1296]	7 2 1
12672.d1	[0,0,0,-3876,92880]	7 2 1
12672.d2	[0,0,0,-246,1404]	7 2 1
12672.e1	[0,0,0,-8856,-303264]	7 2 1
12672.e2	[0,0,0,-8721,-313470]	7 2 1
12672.f1	[0,0,0,-3876,-92880]	7 2 1
12672.f2	[0,0,0,-246,-1404]	7 2 1
12672.g1	[0,0,0,-8856,303264]	7 2 1
12672.g2	[0,0,0,-8721,313470]	7 2 1
12672.h1	[0,0,0,-126,-540]	7 2 1
12672.h2	[0,0,0,-36,-1296]	7 2 1
12672.i1	[0,0,0,-105240,-13140448]	7 2 1
12672.i2	[0,0,0,-6825,-189034]	7 2 1
12672.j1	[0,0,0,-27300,-1512272]	7 2 1
12672.j2	[0,0,0,-26310,-1642556]	7 2 1
12672.k1	[0,0,0,-4350,-110428]	7 2 1
12672.k2	[0,0,0,-4260,-115216]	7 2 1
12672.l1	[0,0,0,-2190,4372]	7 2 1
12672.l2	[0,0,0,8700,34864]	7 2 1
12672.m1	[0,0,0,-8760,34976]	7 2 1
12672.m2	[0,0,0,2175,4358]	7 2 1
12672.n1	[0,0,0,-17400,-883424]	7 2 1
12672.n2	[0,0,0,-1065,-14402]	7 2 1
12672.o1	[0,0,0,-1560,21728]	7 2 1
12672.o2	[0,0,0,-345,-2086]	7 2 1
12672.p1	[0,0,0,-1380,16688]	7 2 1
12672.p2	[0,0,0,-390,-2716]	7 2 1
12672.q1	[0,0,0,-1560,-21728]	7 2 1
12672.q2	[0,0,0,-345,2086]	7 2 1
12672.r1	[0,0,0,-1380,-16688]	7 2 1
12672.r2	[0,0,0,-390,2716]	7 2 1
12672.s1	[0,0,0,-8760,-34976]	7 2 1
12672.s2	[0,0,0,2175,-4358]	7 2 1
12672.t1	[0,0,0,-17400,883424]	7 2 1
12672.t2	[0,0,0,-1065,14402]	7 2 1
12672.u1	[0,0,0,-4350,110428]	7 2 1
12672.u2	[0,0,0,-4260,115216]	7 2 1
12672.v1	[0,0,0,-2190,-4372]	7 2 1
12672.v2	[0,0,0,8700,-34864]	7 2 1
12672.w1	[0,0,0,-27300,1512272]	7 2 1
12672.w2	[0,0,0,-26310,1642556]	7 2 1
12672.x1	[0,0,0,-105240,13140448]	7 2 1
12672.x2	[0,0,0,-6825,189034]	7 2 1
12672.y1	[0,0,0,-504,4320]	7 2 1
12672.y2	[0,0,0,-9,162]	7 2 1
12672.z1	[0,0,0,-34884,-2507760]	7 2 1
12672.z2	[0,0,0,-2214,-37908]	7 2 1
12672.ba1	[0,0,0,-984,11232]	7 2 1
12672.ba2	[0,0,0,-969,11610]	7 2 1
12672.bb1	[0,0,0,-34884,2507760]	7 2 1
12672.bb2	[0,0,0,-2214,37908]	7 2 1
12672.bc1	[0,0,0,-984,-11232]	7 2 1
12672.bc2	[0,0,0,-969,-11610]	7 2 1
12672.bd1	[0,0,0,-504,-4320]	7 2 1
12672.bd2	[0,0,0,-9,-162]	7 2 1
12672.be1	[0,0,0,-408,-160]	7 2 1
12672.be2	[0,0,0,-273,1730]	7 2 1
12672.bf1	[0,0,0,-408,160]	7 2 1
12672.bf2	[0,0,0,-273,-1730]	7 2 1
13068.a1	[0,0,0,2904,165044]	2 3 2
13068.b1	[0,0,0,0,-11]	2 3 2
13068.b2	[0,0,0,0,297]	2 3 2
13068.c1	[0,0,0,0,-5324]	2 3 2
13068.c2	[0,0,0,0,143748]	2 3 2
13068.d1	[0,0,0,0,-13068]	2 3 2
13068.d2	[0,0,0,0,484]	2 3 2
13068.e1	[0,0,0,0,-3267]	2 3 2
13068.e2	[0,0,0,0,121]	2 3 2
13068.f1	[0,0,0,-16335,-934362]	2 3 2
13068.f2	[0,0,0,114345,5103054]	2 3 2
13068.g1	[0,0,0,-1815,34606]	2 3 2
13068.g2	[0,0,0,12705,-189002]	2 3 2
13068.h1	[0,0,0,0,-161051]	2 3 2
13068.h2	[0,0,0,0,4348377]	2 3 2
13068.i1	[0,0,0,0,-644204]	2 3 2
13068.i2	[0,0,0,0,17393508]	2 3 2
13068.j1	[0,0,0,0,-395307]	2 3 2
13068.j2	[0,0,0,0,14641]	2 3 2
13068.k1	[0,0,0,26136,-4456188]	2 3 2
14256.a1	[0,0,0,-27,-3510]	4 4 1
14256.b1	[0,0,0,-7622499,-8100171166]	4 4 1
14256.b2	[0,0,0,-6954579,-9577596654]	4 4 1
14256.c1	[0,0,0,-2619,75114]	4 4 1
14256.c2	[0,0,0,261,-1494]	4 4 1
14256.d1	[0,0,0,-444,-3601]	4 4 1
14256.d2	[0,0,0,-324,-5589]	4 4 1
14256.e1	[0,0,0,-5184,143856]	4 4 1
14256.e2	[0,0,0,96,944]	4 4 1
14256.f1	[0,0,0,-2619,68634]	4 4 1
14256.g1	[0,0,0,6,-1]	4 4 1
14256.h1	[0,0,0,-1296,19440]	4 4 1
14256.i1	[0,0,0,24,2780]	4 4 1
14256.j1	[0,0,0,-603,5706]	4 4 1
14256.j2	[0,0,0,1557,-366246]	4 4 1
14256.k1	[0,0,0,-108,459]	4 4 1
14256.l1	[0,0,0,-108,-756]	4 4 1
14256.m1	[0,0,0,-14283,-670086]	4 4 1
14256.n1	[0,0,0,-3,-46]	4 4 1
14256.o1	[0,0,0,117,-774]	4 4 1
14256.p1	[0,0,0,-40203,-3167046]	4 4 1
14256.q1	[0,0,0,-7155,506034]	4 4 1
14256.q2	[0,0,0,765,-15102]	4 4 1
14256.r1	[0,0,0,-795,-18742]	4 4 1
14256.r2	[0,0,0,6885,407754]	4 4 1
14256.s1	[0,0,0,-5427,-154062]	4 4 1
14256.s2	[0,0,0,14013,9888642]	4 4 1
14256.t1	[0,0,0,-12,-17]	4 4 1
14256.u1	[0,0,0,-12,28]	4 4 1
14256.v1	[0,0,0,1053,20898]	4 4 1
14256.w1	[0,0,0,-1587,24818]	4 4 1
14256.x1	[0,0,0,-27,1242]	4 4 1
14256.y1	[0,0,0,-4467,117298]	4 4 1
14256.z1	[0,0,0,216,-75060]	4 4 1
14256.ba1	[0,0,0,-144,-720]	4 4 1
14256.bb1	[0,0,0,-3996,97227]	4 4 1
14256.bb2	[0,0,0,-36,207]	4 4 1
14256.bc1	[0,0,0,-291,-2782]	4 4 1
14256.bc2	[0,0,0,2349,40338]	4 4 1
14256.bd1	[0,0,0,-68602491,218704621482]	4 4 1
14256.bd2	[0,0,0,-772731,354725802]	4 4 1
14256.be1	[0,0,0,54,27]	4 4 1
14256.bf1	[0,0,0,-576,-5328]	4 4 1
14256.bf2	[0,0,0,864,-25488]	4 4 1
14256.bg1	[0,0,0,-291,-2542]	4 4 1
14256.bh1	[0,0,0,-3,130]	4 4 1
15488.a1	[0,1,0,-7,9]	7 0 2
15488.b1	[0,1,0,-887,-15479]	7 0 2
15488.c1	[0,1,0,-1129,-13785]	7 0 2
15488.c2	[0,1,0,81,-959]	7 0 2
15488.d1	[0,1,0,-282,1582]	7 0 2
15488.d2	[0,1,0,323,7995]	7 0 2
15488.e1	[0,1,0,-3549,120283]	7 0 2
15488.f1	[0,1,0,-29,-101]	7 0 2
15488.g1	[0,0,0,-6776,-212960]	7 0 2
15488.g2	[0,0,0,-121,-7986]	7 0 2
15488.h1	[0,0,0,-6776,212960]	7 0 2
15488.h2	[0,0,0,-121,7986]	7 0 2
15488.i1	[0,0,0,-117128,-15460896]	7 0 2
15488.j1	[0,0,0,-968,-11616]	7 0 2
15488.k1	[0,0,0,-117128,15460896]	7 0 2
15488.l1	[0,0,0,-968,11616]	7 0 2
15488.m1	[0,0,0,-242,-1452]	7 0 2
15488.n1	[0,0,0,-29282,-1932612]	7 0 2
15488.o1	[0,0,0,-242,1452]	7 0 2
15488.p1	[0,0,0,-29282,1932612]	7 0 2
15488.q1	[0,0,0,-1694,-26620]	7 0 2
15488.q2	[0,0,0,-484,-63888]	7 0 2
15488.r1	[0,0,0,-1694,26620]	7 0 2
15488.r2	[0,0,0,-484,63888]	7 0 2
15488.s1	[0,-1,0,-7,-9]	7 0 2
15488.t1	[0,-1,0,-887,15479]	7 0 2
15488.u1	[0,-1,0,-1129,13785]	7 0 2
15488.u2	[0,-1,0,81,959]	7 0 2
15488.v1	[0,-1,0,-282,-1582]	7 0 2
15488.v2	[0,-1,0,323,-7995]	7 0 2
15488.w1	[0,-1,0,-3549,-120283]	7 0 2
15488.x1	[0,-1,0,-29,101]	7 0 2
15552.a1	[0,0,0,-972,-19440]	6 5 0
15552.b1	[0,0,0,-162,-810]	6 5 0
15552.c1	[0,0,0,-162,810]	6 5 0
15552.d1	[0,0,0,-972,19440]	6 5 0
15552.e1	[0,0,0,-16524,-416016]	6 5 0
15552.e2	[0,0,0,-7884,269424]	6 5 0
15552.f1	[0,0,0,-3564,-76464]	6 5 0
15552.f2	[0,0,0,-684,6864]	6 5 0
15552.g1	[0,0,0,-3564,76464]	6 5 0
15552.g2	[0,0,0,-684,-6864]	6 5 0
15552.h1	[0,0,0,-16524,416016]	6 5 0
15552.h2	[0,0,0,-7884,-269424]	6 5 0
15552.i1	[0,0,0,-216,1224]	6 5 0
15552.j1	[0,0,0,324,-1296]	6 5 0
15552.k1	[0,0,0,-36,-96]	6 5 0
15552.l1	[0,0,0,-1296,-18144]	6 5 0
15552.m1	[0,0,0,-1296,18144]	6 5 0
15552.n1	[0,0,0,-36,96]	6 5 0
15552.o1	[0,0,0,324,1296]	6 5 0
15552.p1	[0,0,0,-216,-1224]	6 5 0
15552.q1	[0,0,0,-21708,1231056]	6 5 0
15552.r1	[0,0,0,-108,144]	6 5 0
15552.s1	[0,0,0,-108,336]	6 5 0
15552.t1	[0,0,0,-108,-336]	6 5 0
15552.u1	[0,0,0,-108,-144]	6 5 0
15552.v1	[0,0,0,-21708,-1231056]	6 5 0
15552.w1	[0,0,0,0,-648]	6 5 0
15552.w2	[0,0,0,0,24]	6 5 0
15552.x1	[0,0,0,0,-18]	6 5 0
15552.x2	[0,0,0,0,486]	6 5 0
15552.y1	[0,0,0,0,-7776]	6 5 0
15552.y2	[0,0,0,0,288]	6 5 0
15552.z1	[0,0,0,0,-6]	6 5 0
15552.z2	[0,0,0,0,162]	6 5 0
15552.ba1	[0,0,0,-1260,-17232]	6 5 0
15552.ba2	[0,0,0,1620,-79056]	6 5 0
15552.bb1	[0,0,0,0,-96]	6 5 0
15552.bb2	[0,0,0,0,2592]	6 5 0
15552.bc1	[0,0,0,0,-1944]	6 5 0
15552.bc2	[0,0,0,0,72]	6 5 0
15552.bd1	[0,0,0,-11340,465264]	6 5 0
15552.bd2	[0,0,0,180,2928]	6 5 0
15552.be1	[0,0,0,-11340,-465264]	6 5 0
15552.be2	[0,0,0,180,-2928]	6 5 0
15552.bf1	[0,0,0,0,-2592]	6 5 0
15552.bf2	[0,0,0,0,96]	6 5 0
15552.bg1	[0,0,0,0,-72]	6 5 0
15552.bg2	[0,0,0,0,1944]	6 5 0
15552.bh1	[0,0,0,-1260,17232]	6 5 0
15552.bh2	[0,0,0,1620,79056]	6 5 0
15552.bi1	[0,0,0,0,-288]	6 5 0
15552.bi2	[0,0,0,0,7776]	6 5 0
15552.bj1	[0,0,0,0,-162]	6 5 0
15552.bj2	[0,0,0,0,6]	6 5 0
15552.bk1	[0,0,0,0,-24]	6 5 0
15552.bk2	[0,0,0,0,648]	6 5 0
15552.bl1	[0,0,0,0,-486]	6 5 0
15552.bl2	[0,0,0,0,18]	6 5 0
15552.bm1	[0,0,0,-195372,-33238512]	6 5 0
15552.bn1	[0,0,0,-972,-3888]	6 5 0
15552.bo1	[0,0,0,-972,9072]	6 5 0
15552.bp1	[0,0,0,-972,-9072]	6 5 0
15552.bq1	[0,0,0,-972,3888]	6 5 0
15552.br1	[0,0,0,-195372,33238512]	6 5 0
15552.bs1	[0,0,0,36,48]	6 5 0
15552.bt1	[0,0,0,-1944,-33048]	6 5 0
15552.bu1	[0,0,0,-324,2592]	6 5 0
15552.bv1	[0,0,0,-144,-672]	6 5 0
15552.bw1	[0,0,0,-144,672]	6 5 0
15552.bx1	[0,0,0,-324,-2592]	6 5 0
15552.by1	[0,0,0,-1944,33048]	6 5 0
15552.bz1	[0,0,0,36,-48]	6 5 0
15552.ca1	[0,0,0,-70956,-7274448]	6 5 0
15552.ca2	[0,0,0,-1836,15408]	6 5 0
15552.cb1	[0,0,0,-6156,-185328]	6 5 0
15552.cb2	[0,0,0,-396,2832]	6 5 0
15552.cc1	[0,0,0,-6156,185328]	6 5 0
15552.cc2	[0,0,0,-396,-2832]	6 5 0
15552.cd1	[0,0,0,-70956,7274448]	6 5 0
15552.cd2	[0,0,0,-1836,-15408]	6 5 0
15552.ce1	[0,0,0,-108,720]	6 5 0
15552.cf1	[0,0,0,-18,30]	6 5 0
15552.cg1	[0,0,0,-18,-30]	6 5 0
15552.ch1	[0,0,0,-108,-720]	6 5 0
17424.a1	[0,0,0,-8729787,9927809210]	4 2 2
17424.a2	[0,0,0,-8686227,10031786930]	4 2 2
17424.b1	[0,0,0,-32307,2222770]	4 2 2
17424.b2	[0,0,0,-3267,-13310]	4 2 2
17424.c1	[0,0,0,63888,-1171280]	4 2 2
17424.d1	[0,0,0,528,880]	4 2 2
17424.e1	[0,0,0,-11979,-790614]	4 2 2
17424.f1	[0,0,0,-396759,-96191854]	4 2 2
17424.f2	[0,0,0,-4719,-142054]	4 2 2
17424.g1	[0,0,0,-48007839,128031357674]	4 2 2
17424.g2	[0,0,0,-570999,189073874]	4 2 2
17424.h1	[0,0,0,-99,594]	4 2 2
17424.i1	[0,0,0,-6133611,5846856730]	4 2 2
17424.i2	[0,0,0,-383691,91186810]	4 2 2
17424.i3	[0,0,0,-209451,174368986]	4 2 2
17424.i4	[0,0,0,-35211,-45254]	4 2 2
17424.j1	[0,0,0,-1551,-23474]	4 2 2
17424.j2	[0,0,0,-66,-605]	4 2 2
17424.k1	[0,0,0,-12771,-555390]	4 2 2
17424.k2	[0,0,0,-891,-6534]	4 2 2
17424.l1	[0,0,0,-13431,284834]	4 2 2
17424.l2	[0,0,0,2904,33275]	4 2 2
17424.m1	[0,0,0,-514371,-141972446]	4 2 2
17424.m2	[0,0,0,-35211,-1770230]	4 2 2
17424.m3	[0,0,0,-13431,577654]	4 2 2
17424.m4	[0,0,0,95469,-11832590]	4 2 2
17424.n1	[0,0,0,-1407351,-642598814]	4 2 2
17424.n2	[0,0,0,-84216,-10934165]	4 2 2
17424.o1	[0,0,0,-1545291,739224090]	4 2 2
17424.o2	[0,0,0,-107811,8696754]	4 2 2
17424.p1	[0,0,0,-187671,31243894]	4 2 2
17424.p2	[0,0,0,-7986,805255]	4 2 2
17424.q1	[0,0,0,15972,644204]	4 2 2
17424.r1	[0,0,0,-136261488,612220410736]	4 2 2
17424.r2	[0,0,0,-180048,53261296]	4 2 2
17424.r3	[0,0,0,-5808,-404624]	4 2 2
17424.s1	[0,0,0,-43923,13850386]	4 2 2
17424.s2	[0,0,0,-4323,-109406]	4 2 2
17424.t1	[0,0,0,-523083,145619386]	4 2 2
17424.t2	[0,0,0,-363,-10406]	4 2 2
17424.u1	[0,0,0,132,-484]	4 2 2
17424.v1	[0,0,0,0,-1936]	4 2 2
17424.v2	[0,0,0,0,52272]	4 2 2
17424.w1	[0,0,0,-16335,-790614]	4 2 2
17424.w2	[0,0,0,-1815,29282]	4 2 2
17424.w3	[0,0,0,0,-35937]	4 2 2
17424.w4	[0,0,0,0,1331]	4 2 2
17424.x1	[0,0,0,-81675,8409258]	4 2 2
17424.x2	[0,0,0,-16335,-646866]	4 2 2
17424.y1	[0,0,0,-9075,-311454]	4 2 2
17424.y2	[0,0,0,-1815,23958]	4 2 2
17424.z1	[0,0,0,-660,7436]	4 2 2
17424.ba1	[0,0,0,0,-1188]	4 2 2
17424.ba2	[0,0,0,0,44]	4 2 2
17424.bb1	[0,0,0,-68475,-6892886]	4 2 2
17424.bb2	[0,0,0,-5115,-62678]	4 2 2
17424.bc1	[0,0,0,-8285475,9174431266]	4 2 2
17424.bc2	[0,0,0,-618915,83424418]	4 2 2
17424.bd1	[0,0,0,0,-58564]	4 2 2
17424.bd2	[0,0,0,0,1581228]	4 2 2
17424.be1	[0,0,0,-79860,-9897316]	4 2 2
17424.bf1	[0,0,0,-17854155,-29037311622]	4 2 2
17424.bf2	[0,0,0,-1127115,-444109446]	4 2 2
17424.bf3	[0,0,0,-284955,-14633014]	4 2 2
17424.bf4	[0,0,0,-168795,26510858]	4 2 2
17424.bg1	[0,0,0,-2564595,395091378]	4 2 2
17424.bg2	[0,0,0,-1983795,1075455986]	4 2 2
17424.bg3	[0,0,0,-1519155,-715793166]	4 2 2
17424.bg4	[0,0,0,-125235,16448498]	4 2 2
17424.bh1	[0,0,0,-9075,-98494]	4 2 2
17424.bh2	[0,0,0,34485,-769318]	4 2 2
17424.bi1	[0,0,0,-1402995,637184306]	4 2 2
17424.bi2	[0,0,0,-706035,1270442162]	4 2 2
17424.bi3	[0,0,0,-96195,-10831678]	4 2 2
17424.bi4	[0,0,0,78045,-45714526]	4 2 2
17424.bj1	[0,0,0,0,-69574032]	4 2 2
17424.bj2	[0,0,0,0,2576816]	4 2 2
17424.bk1	[0,0,0,-235587,-49164478]	4 2 2
17424.bl1	[0,0,0,3118533,-3221342102]	4 2 2
17424.bm1	[0,0,0,3993,-907742]	4 2 2
17424.bn1	[0,0,0,243573,17012842]	4 2 2
17424.bo1	[0,0,0,2013,-12782]	4 2 2
17424.bp1	[0,0,0,33,682]	4 2 2
17424.bq1	[0,0,0,25773,2420242]	4 2 2
17424.br1	[0,0,0,-1947,36938]	4 2 2
17424.bs1	[0,0,0,-91839,9340958]	4 2 2
17424.bs2	[0,0,0,147741,49925810]	4 2 2
17424.bt1	[0,0,0,-1419,20570]	4 2 2
17424.bt2	[0,0,0,-99,242]	4 2 2
17424.bu1	[0,0,0,-418539,104219962]	4 2 2
17424.bu2	[0,0,0,-70059,-7136822]	4 2 2
17424.bu3	[0,0,0,-26499,1583890]	4 2 2
17424.bu4	[0,0,0,-4719,-93170]	4 2 2
17424.bu5	[0,0,0,726,-9317]	4 2 2
17424.bu6	[0,0,0,17061,6279658]	4 2 2
17424.bv1	[0,0,0,-171699,-27378670]	4 2 2
17424.bv2	[0,0,0,-11979,-322102]	4 2 2
17424.bw1	[0,0,0,-759,-7018]	4 2 2
17424.bw2	[0,0,0,1221,-37510]	4 2 2
17424.bx1	[0,0,0,-767019,-258557398]	4 2 2
17424.bx2	[0,0,0,-113619,9101378]	4 2 2
17424.bx3	[0,0,0,-48279,-3979690]	4 2 2
17424.bx4	[0,0,0,726,-206305]	4 2 2
17424.by1	[0,0,0,-2552979,-1568527598]	4 2 2
17424.by2	[0,0,0,-200739,-10874270]	4 2 2
17424.by3	[0,0,0,-113619,14617042]	4 2 2
17424.by4	[0,0,0,757581,-84664910]	4 2 2
17424.bz1	[0,0,0,-4356,-143748]	4 2 2
17424.ca1	[0,0,0,-906411,-341164582]	4 2 2
17424.ca2	[0,0,0,51909,-1727638]	4 2 2
17424.cb1	[0,0,0,-127776,-18037712]	4 2 2
17424.cb2	[0,0,0,-1056,13552]	4 2 2
17424.cc1	[0,0,0,-7491,256322]	4 2 2
17424.cc2	[0,0,0,429,1298]	4 2 2
17424.cd1	[0,0,0,-84216,9460748]	4 2 2
17424.cd2	[0,0,0,2904,69212]	4 2 2
17424.ce1	[0,0,0,-1848,-30580]	4 2 2
17424.cf1	[0,0,0,-12243,15730]	4 2 2
17424.cf2	[0,0,0,-8283,-289190]	4 2 2
17424.cg1	[0,0,0,-175372923,893906135210]	4 2 2
17424.cg2	[0,0,0,-175198683,895771025930]	4 2 2
17424.cg3	[0,0,0,-784443,-194924950]	4 2 2
17424.cg4	[0,0,0,2003397,-1268243350]	4 2 2
17424.ch1	[0,0,0,-290763,-60014790]	4 2 2
17424.ch2	[0,0,0,-29403,359370]	4 2 2
17424.ci1	[0,0,0,-1481403,-20936630]	4 2 2
17424.ci2	[0,0,0,-1002243,384911890]	4 2 2
17424.cj1	[0,0,0,-223608,40701980]	4 2 2
19008.a1	[0,0,0,-27,-540]	6 3 1
19008.b1	[0,0,0,-27,540]	6 3 1
19008.c1	[0,0,0,-29484,-1948624]	6 3 1
19008.c2	[0,0,0,-22764,-2859856]	6 3 1
19008.d1	[0,0,0,756,1296]	6 3 1
19008.e1	[0,0,0,756,16304]	6 3 1
19008.f1	[0,0,0,756,-16304]	6 3 1
19008.g1	[0,0,0,-29484,1948624]	6 3 1
19008.g2	[0,0,0,-22764,2859856]	6 3 1
19008.h1	[0,0,0,756,-1296]	6 3 1
19008.i1	[0,0,0,84,304]	6 3 1
19008.j1	[0,0,0,-111,-456]	6 3 1
19008.k1	[0,0,0,-36,86]	6 3 1
19008.l1	[0,0,0,-88236,-67332816]	6 3 1
19008.m1	[0,0,0,864,26784]	6 3 1
19008.n1	[0,0,0,-10476,435024]	6 3 1
19008.o1	[0,0,0,-88236,67332816]	6 3 1
19008.p1	[0,0,0,864,-26784]	6 3 1
19008.q1	[0,0,0,-10476,-435024]	6 3 1
19008.r1	[0,0,0,-36,-86]	6 3 1
19008.s1	[0,0,0,-111,456]	6 3 1
19008.t1	[0,0,0,84,-304]	6 3 1
19008.u1	[0,0,0,-588,5776]	6 3 1
19008.v1	[0,0,0,-588,-5776]	6 3 1
19008.w1	[0,0,0,-2160,111456]	6 3 1
19008.x1	[0,0,0,-60,-208]	6 3 1
19008.x2	[0,0,0,420,1136]	6 3 1
19008.y1	[0,0,0,-240,-4128]	6 3 1
19008.z1	[0,0,0,-540,5616]	6 3 1
19008.z2	[0,0,0,3780,-30672]	6 3 1
19008.ba1	[0,0,0,-240,4128]	6 3 1
19008.bb1	[0,0,0,-540,-5616]	6 3 1
19008.bb2	[0,0,0,3780,30672]	6 3 1
19008.bc1	[0,0,0,-2160,-111456]	6 3 1
19008.bd1	[0,0,0,-60,208]	6 3 1
19008.bd2	[0,0,0,420,-1136]	6 3 1
19008.be1	[0,0,0,-5292,-155952]	6 3 1
19008.bf1	[0,0,0,-5292,155952]	6 3 1
19008.bg1	[0,0,0,756,-8208]	6 3 1
19008.bh1	[0,0,0,-999,12312]	6 3 1
19008.bi1	[0,0,0,-9804,2493808]	6 3 1
19008.bj1	[0,0,0,96,-992]	6 3 1
19008.bk1	[0,0,0,-1164,-16112]	6 3 1
19008.bl1	[0,0,0,-324,-2322]	6 3 1
19008.bm1	[0,0,0,-324,2322]	6 3 1
19008.bn1	[0,0,0,-9804,-2493808]	6 3 1
19008.bo1	[0,0,0,96,992]	6 3 1
19008.bp1	[0,0,0,-1164,16112]	6 3 1
19008.bq1	[0,0,0,-999,-12312]	6 3 1
19008.br1	[0,0,0,756,8208]	6 3 1
19008.bs1	[0,0,0,6804,-440208]	6 3 1
19008.bt1	[0,0,0,-265356,52612848]	6 3 1
19008.bt2	[0,0,0,-204876,77216112]	6 3 1
19008.bu1	[0,0,0,84,-48]	6 3 1
19008.bv1	[0,0,0,-265356,-52612848]	6 3 1
19008.bv2	[0,0,0,-204876,-77216112]	6 3 1
19008.bw1	[0,0,0,84,48]	6 3 1
19008.bx1	[0,0,0,6804,440208]	6 3 1
19008.by1	[0,0,0,-3,20]	6 3 1
19008.bz1	[0,0,0,-3,-20]	6 3 1
19602.a1	[1,-1,0,-204,-72946]	1 4 2
19602.b1	[1,-1,0,-1986,34568]	1 4 2
19602.b2	[1,-1,0,-6,116]	1 4 2
19602.c1	[1,-1,0,-19806,1567088]	1 4 2
19602.c2	[1,-1,0,1974,-31564]	1 4 2
19602.d1	[1,-1,0,-805338,278365236]	1 4 2
19602.e1	[1,-1,0,-10368,-403760]	1 4 2
19602.f1	[1,-1,0,-108015,-13908691]	1 4 2
19602.g1	[1,-1,0,-304035,-65788651]	1 4 2
19602.h1	[1,-1,0,-6012,-388272]	1 4 2
19602.h2	[1,-1,0,52068,8466992]	1 4 2
19602.i1	[1,-1,0,-1173057,489313853]	1 4 2
19602.i2	[1,-1,0,-11457,961725]	1 4 2
19602.i3	[1,-1,0,-567,-5307]	1 4 2
19602.i4	[1,-1,0,3063,-10873]	1 4 2
19602.j1	[1,-1,0,-78612,-7528240]	1 4 2
19602.j2	[1,-1,0,-18717,988829]	1 4 2
19602.k1	[1,-1,0,-1392,20312]	1 4 2
19602.k2	[1,-1,0,-72,-192]	1 4 2
19602.l1	[1,-1,0,-11290956,-14600250208]	1 4 2
19602.m1	[1,-1,0,-59901,5657669]	1 4 2
19602.n1	[1,-1,0,-518806338,4548502376468]	1 4 2
19602.n2	[1,-1,0,-5843778,7378649108]	1 4 2
19602.o1	[1,-1,0,-26703,1686273]	1 4 2
19602.o2	[1,-1,0,-6738,4115348]	1 4 2
19602.p1	[1,-1,0,-6738,234152]	1 4 2
19602.p2	[1,-1,0,522,-588]	1 4 2
19602.q1	[1,-1,1,-57645149,-168443835931]	1 4 2
19602.q2	[1,-1,1,-52594004,-199170931913]	1 4 2
19602.r1	[1,-1,1,-240329,-45289043]	1 4 2
19602.r2	[1,-1,1,-749,-152171]	1 4 2
19602.s1	[1,-1,1,-749,-8423]	1 4 2
19602.s2	[1,-1,1,4696,11179]	1 4 2
19602.t1	[1,-1,1,-1254551,541168191]	1 4 2
19602.u1	[1,-1,1,-6656,-207325]	1 4 2
19602.v1	[1,-1,1,-130340,-18079289]	1 4 2
19602.v2	[1,-1,1,-103115,-25863461]	1 4 2
19602.v3	[1,-1,1,-5105,148393]	1 4 2
19602.v4	[1,-1,1,340,289]	1 4 2
19602.w1	[1,-1,1,-54110,10537453]	1 4 2
19602.w2	[1,-1,1,5785,-315521]	1 4 2
19602.x1	[1,-1,1,-168455,-26529929]	1 4 2
19602.x2	[1,-1,1,-8735,281735]	1 4 2
19602.y1	[1,-1,1,-650,5833]	1 4 2
19602.y2	[1,-1,1,-155,-701]	1 4 2
19602.z1	[1,-1,1,-12002,519137]	1 4 2
19602.ba1	[1,-1,1,-33782,2447877]	1 4 2
19602.bb1	[1,-1,1,-7248044,-7508613329]	1 4 2
19602.bc1	[1,-1,1,-93314,10994833]	1 4 2
19602.bd1	[1,-1,1,-221,-1207]	1 4 2
19602.bd2	[1,-1,1,-56,-3077]	1 4 2
19602.be1	[1,-1,1,-2201,-57307]	1 4 2
19602.be2	[1,-1,1,17764,834463]	1 4 2
19602.bf1	[1,-1,1,-23,2709]	1 4 2
20736.a1	[0,0,0,-97896,-11789504]	8 4 0
20736.a2	[0,0,0,24,64]	8 4 0
20736.b1	[0,0,0,-220266,39789576]	8 4 0
20736.b2	[0,0,0,54,-216]	8 4 0
20736.c1	[0,0,0,-97896,11789504]	8 4 0
20736.c2	[0,0,0,24,-64]	8 4 0
20736.d1	[0,0,0,-220266,-39789576]	8 4 0
20736.d2	[0,0,0,54,216]	8 4 0
20736.e1	[0,0,0,-270,-1728]	8 4 0
20736.f1	[0,0,0,-120,512]	8 4 0
20736.g1	[0,0,0,-30,64]	8 4 0
20736.h1	[0,0,0,-1080,-13824]	8 4 0
20736.i1	[0,0,0,-30,-64]	8 4 0
20736.j1	[0,0,0,-1080,13824]	8 4 0
20736.k1	[0,0,0,-270,1728]	8 4 0
20736.l1	[0,0,0,-120,-512]	8 4 0
20736.m1	[0,0,0,-881064,318316608]	8 4 0
20736.m2	[0,0,0,216,-1728]	8 4 0
20736.n1	[0,0,0,-24474,-1473688]	8 4 0
20736.n2	[0,0,0,6,8]	8 4 0
20736.o1	[0,0,0,-881064,-318316608]	8 4 0
20736.o2	[0,0,0,216,1728]	8 4 0
20736.p1	[0,0,0,-24474,1473688]	8 4 0
20736.p2	[0,0,0,6,-8]	8 4 0
